pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_mrr,Q4,1579,1.0,1.0,0.00023458940257546973
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q1,978,-0.0,0.8902345136471207,0.00015337423312883434
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q2,934,0.9342897802984251,0.9833662922325805,0.0010171306209850104
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q3,858,0.9861897713265204,0.9933592174474118,0.002097902097902098
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q4,957,0.9941025975892164,0.9990942146971094,-0.0032915360501567397
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q1,978,-0.0,0.8902345136471207,0.0008148716200863438
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q2,934,0.9342897802984251,0.9833662922325805,0.000380085653104925
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q3,858,0.9861897713265204,0.9933592174474118,0.0014276001776001774
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q4,957,0.9941025975892164,0.9990942146971094,-0.0001617986100744719
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q1,931,0.1132075471698113,0.40072342476899125,-0.00021482277121374885
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q2,932,0.4007709857124278,0.4617278392394905,0.0011266094420600851
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q3,932,0.46173859131337514,0.5320033417318998,0.0028969957081545067
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q4,932,0.5320968898334484,0.8156400802328242,-0.00407725321888412
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q1,931,0.1132075471698113,0.40072342476899125,-0.0006780343716433947
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q2,932,0.4007709857124278,0.4617278392394905,0.0026426996048777166
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q3,932,0.46173859131337514,0.5320033417318998,0.0017504811295047345
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q4,932,0.5320968898334484,0.8156400802328242,-0.0013317707268887527
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q1,930,0.15151515151515152,0.6486486486486487,-0.0024731182795698927
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q2,930,0.65,0.7708333333333334,-0.0023118279569892476
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q3,935,0.7714285714285715,0.8372093023255814,0.00026737967914438465
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q4,932,0.8375,1.0,0.0042381974248927035
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q1,930,0.15151515151515152,0.6486486486486487,-0.0009624295954941118
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q2,930,0.65,0.7708333333333334,-0.0013426565966888542
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q3,935,0.7714285714285715,0.8372093023255814,0.0018203038791274086
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q4,932,0.8375,1.0,0.002858079569452959
localretro_only,candidate_count,mean_20seed_delta_top1,Q1,5,5.0,9.0,0.0
