pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
localretro_only,kendall_order_vs_historical,transfer_delta_mrr,Q4,887,0.8666666666666666,1.0,-0.0011969631896351165
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q1,931,-0.39884013998694023,-0.05698217572842296,-0.008270676691729324
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q2,932,-0.05696978406683151,-0.017062073005489453,-0.0025751072961373396
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q3,932,-0.016988966228882685,0.022562184085477277,-0.007671673819742489
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q4,932,0.02260881693356498,0.4248552941695367,-0.01094420600858369
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q1,931,-0.39884013998694023,-0.05698217572842296,-0.005259748009479481
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q2,932,-0.05696978406683151,-0.017062073005489453,-0.0020094607943320396
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q3,932,-0.016988966228882685,0.022562184085477277,-0.007271335751754205
localretro_only,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_mrr,Q4,932,0.02260881693356498,0.4248552941695367,-0.007302822058723347
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q1,453,-0.58680714612918,-0.0012820512820512775,-0.023951434878587193
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q2,1700,0.0,0.0,-0.00823529411764706
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q3,642,0.0008528784648187404,0.06818181818181823,0.005529595015576322
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_top1,Q4,932,0.06826163301141353,0.6513888888888888,-0.00659871244635193
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q1,453,-0.58680714612918,-0.0012820512820512775,-0.015147824030274364
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q2,1700,0.0,0.0,-0.005317238562091503
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q3,642,0.0008528784648187404,0.06818181818181823,-0.0008058584285219788
localretro_only,max_nonreference_similarity_shift_vs_historical,transfer_delta_mrr,Q4,932,0.06826163301141353,0.6513888888888888,-0.004221166291981742
merged,candidate_count_shift_vs_historical,transfer_delta_top1,Q1,1005,0.0,0.0,-0.014477611940298509
merged,candidate_count_shift_vs_historical,transfer_delta_top1,Q2,797,1.0,1.0,-0.012421580928481807
merged,candidate_count_shift_vs_historical,transfer_delta_top1,Q3,1279,2.0,3.0,-0.017200938232994525
merged,candidate_count_shift_vs_historical,transfer_delta_top1,Q4,733,4.0,9.0,-0.020395634379263297
merged,candidate_count_shift_vs_historical,transfer_delta_mrr,Q1,1005,0.0,0.0,-0.00914271894495775
merged,candidate_count_shift_vs_historical,transfer_delta_mrr,Q2,797,1.0,1.0,-0.008373812511202724
merged,candidate_count_shift_vs_historical,transfer_delta_mrr,Q3,1279,2.0,3.0,-0.010336308748153939
merged,candidate_count_shift_vs_historical,transfer_delta_mrr,Q4,733,4.0,9.0,-0.011158237510556746
merged,jaccard_vs_historical,transfer_delta_top1,Q1,893,0.06666666666666667,0.2727272727272727,-0.022340425531914898
merged,jaccard_vs_historical,transfer_delta_top1,Q2,1023,0.2857142857142857,0.38461538461538464,-0.00493646138807429
merged,jaccard_vs_historical,transfer_delta_top1,Q3,928,0.4,0.5,-0.02720905172413793
merged,jaccard_vs_historical,transfer_delta_top1,Q4,970,0.5384615384615384,1.0,-0.01149484536082474
merged,jaccard_vs_historical,transfer_delta_mrr,Q1,893,0.06666666666666667,0.2727272727272727,-0.012216889742085712
merged,jaccard_vs_historical,transfer_delta_mrr,Q2,1023,0.2857142857142857,0.38461538461538464,-0.003881557510589768
merged,jaccard_vs_historical,transfer_delta_mrr,Q3,928,0.4,0.5,-0.01604959889846743
merged,jaccard_vs_historical,transfer_delta_mrr,Q4,970,0.5384615384615384,1.0,-0.0077184994272623125
merged,shared_candidate_count,transfer_delta_top1,Q1,720,1.0,3.0,-0.020902777777777777
merged,shared_candidate_count,transfer_delta_top1,Q2,1438,4.0,5.0,-0.014082058414464534
merged,shared_candidate_count,transfer_delta_top1,Q3,830,6.0,6.0,-0.023734939759036143
merged,shared_candidate_count,transfer_delta_top1,Q4,826,7.0,10.0,-0.007748184019370462
merged,shared_candidate_count,transfer_delta_mrr,Q1,720,1.0,3.0,-0.01201708553791887
merged,shared_candidate_count,transfer_delta_mrr,Q2,1438,4.0,5.0,-0.00817446519637062
merged,shared_candidate_count,transfer_delta_mrr,Q3,830,6.0,6.0,-0.014243091413272136
merged,shared_candidate_count,transfer_delta_mrr,Q4,826,7.0,10.0,-0.006092663053922134
merged,kendall_order_vs_historical,transfer_delta_top1,Q1,910,-1.0,0.3333333333333334,-0.00978021978021978
merged,kendall_order_vs_historical,transfer_delta_top1,Q2,993,0.3571428571428571,0.6,-0.027391742195367576
merged,kendall_order_vs_historical,transfer_delta_top1,Q3,797,0.611111111111111,0.7999999999999999,-0.012421580928481805
merged,kendall_order_vs_historical,transfer_delta_top1,Q4,886,0.8095238095238096,1.0,-0.012528216704288938
merged,kendall_order_vs_historical,transfer_delta_mrr,Q1,910,-1.0,0.3333333333333334,-0.007154958137100996
merged,kendall_order_vs_historical,transfer_delta_mrr,Q2,993,0.3571428571428571,0.6,-0.01611786473568951
merged,kendall_order_vs_historical,transfer_delta_mrr,Q3,797,0.611111111111111,0.7999999999999999,-0.007820422815717674
merged,kendall_order_vs_historical,transfer_delta_mrr,Q4,886,0.8095238095238096,1.0,-0.007181218424164249
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q1,931,-0.39884013998694023,-0.043762137018621694,-0.016595059076262082
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q2,932,-0.043733184948361425,-0.00948508055405528,-0.020600858369098717
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q3,932,-0.009456834844038253,0.024016925194598415,-0.01169527896995708
merged,mean_pairwise_morgan_distance_shift_vs_historical,transfer_delta_top1,Q4,932,0.02406347562446043,0.4248552941695367,-0.014377682403433477
